,year,mon.day,date,river,bank,species,fish.count,comments,run_desc,run,maturity,proj.id,proj,count.type
123,2023,9-Jul,7/9/23,George River,Entire Channel,Chum,90,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
124,2023,10-Jul,7/10/23,George River,Entire Channel,Chum,249,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
125,2023,11-Jul,7/11/23,George River,Entire Channel,Chum,465,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
126,2023,12-Jul,7/12/23,George River,Entire Channel,Chum,377,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
127,2023,13-Jul,7/13/23,George River,Entire Channel,Chum,228,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
128,2023,14-Jul,7/14/23,George River,Entire Channel,Chum,209,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
129,2023,15-Jul,7/15/23,George River,Entire Channel,Chum,121,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
130,2023,16-Jul,7/16/23,George River,Entire Channel,Chum,237,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
131,2023,17-Jul,7/17/23,George River,Entire Channel,Chum,127,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
132,2023,18-Jul,7/18/23,George River,Entire Channel,Chum,261,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
133,2023,19-Jul,7/19/23,George River,Entire Channel,Chum,430,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
134,2023,20-Jul,7/20/23,George River,Entire Channel,Chum,504,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
135,2023,21-Jul,7/21/23,George River,Entire Channel,Chum,235,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
136,2023,22-Jul,7/22/23,George River,Entire Channel,Chum,501,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
137,2023,23-Jul,7/23/23,George River,Entire Channel,Chum,540,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
138,2023,24-Jul,7/24/23,George River,Entire Channel,Chum,523,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
139,2023,25-Jul,7/25/23,George River,Entire Channel,Chum,535,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
140,2023,26-Jul,7/26/23,George River,Entire Channel,Chum,606,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
141,2023,27-Jul,7/27/23,George River,Entire Channel,Chum,582,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
142,2023,28-Jul,7/28/23,George River,Entire Channel,Chum,438,partial,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
143,2023,29-Jul,7/29/23,George River,Entire Channel,Chum,470,partial,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
144,2023,30-Jul,7/30/23,George River,Entire Channel,Chum,604,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
145,2023,31-Jul,7/31/23,George River,Entire Channel,Chum,1022,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
146,2023,1-Aug,8/1/23,George River,Entire Channel,Chum,761,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
147,2023,2-Aug,8/2/23,George River,Entire Channel,Chum,639,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
